,Id_Can,Nombre_Can,Estado_Can,Id_Pro
0,8c050784-74f7-11ed-884d-0242ac1c000c,CUENCA,Activo,5d69eeee-74f7-11ed-8d69-0242ac1c000c
22,8c050932-74f7-11ed-884d-0242ac1c000c,GIRON,Activo,5d69f132-74f7-11ed-8d69-0242ac1c000c
25,8c0509b4-74f7-11ed-884d-0242ac1c000c,GUALACEO,Inactivo,5d69f1f0-74f7-11ed-8d69-0242ac1c000c
34,8c050a2c-74f7-11ed-884d-0242ac1c000c, NABON,Inactivo,5d69f29a-74f7-11ed-8d69-0242ac1c000c
38,8c050a90-74f7-11ed-884d-0242ac1c000c,PAUTE,Activo,5d69f330-74f7-11ed-8d69-0242ac1c000c
46,8c050afe-74f7-11ed-884d-0242ac1c000c, PUCARA,Activo,5d69f3c6-74f7-11ed-8d69-0242ac1c000c
48,8c050b62-74f7-11ed-884d-0242ac1c000c, SAN FERNANDO,Inactivo,5d69f452-74f7-11ed-8d69-0242ac1c000c
50,8c050bc6-74f7-11ed-884d-0242ac1c000c, SANTA ISABEL,Inactivo,5d69f4f2-74f7-11ed-8d69-0242ac1c000c
54,8c050c20-74f7-11ed-884d-0242ac1c000c, SIGSIG,Inactivo,5d69f57e-74f7-11ed-8d69-0242ac1c000c
61,8c050c8e-74f7-11ed-884d-0242ac1c000c, OÑA,Activo,5d69f60a-74f7-11ed-8d69-0242ac1c000c
63,8c050d24-74f7-11ed-884d-0242ac1c000c,CHORDELEG,Inactivo,5d69f68c-74f7-11ed-8d69-0242ac1c000c
68,8c050d92-74f7-11ed-884d-0242ac1c000c, EL PAN,Activo,5d69f718-74f7-11ed-8d69-0242ac1c000c
70,8c050df6-74f7-11ed-884d-0242ac1c000c, SEVILLA DE ORO,Activo,5d69f7a4-74f7-11ed-8d69-0242ac1c000c
73,8c050e5a-74f7-11ed-884d-0242ac1c000c, GUACHAPALA,Activo,5d69f826-74f7-11ed-8d69-0242ac1c000c
74,8c050ebe-74f7-11ed-884d-0242ac1c000c,CAMILO PONCE ENRIQUEZ,Inactivo,5d69f8a8-74f7-11ed-8d69-0242ac1c000c
75,8c050f22-74f7-11ed-884d-0242ac1c000c, GUARANDA,Activo,5d69f92a-74f7-11ed-8d69-0242ac1c000c
84,8c050f86-74f7-11ed-884d-0242ac1c000c, CHILLANES,Inactivo,5d69f9ac-74f7-11ed-8d69-0242ac1c000c
86,8c050ff4-74f7-11ed-884d-0242ac1c000c, CHIMBO,Activo,5d69fa42-74f7-11ed-8d69-0242ac1c000c
91,8c051058-74f7-11ed-884d-0242ac1c000c, ECHEANDIA,Activo,5d69face-74f7-11ed-8d69-0242ac1c000c
92,8c0510c6-74f7-11ed-884d-0242ac1c000c,SAN MIGUEL,Inactivo,5d69fb5a-74f7-11ed-8d69-0242ac1c000c
99,8c051120-74f7-11ed-884d-0242ac1c000c, CALUMA ,Inactivo,5d69fbe6-74f7-11ed-8d69-0242ac1c000c
100,8c051184-74f7-11ed-884d-0242ac1c000c, LAS NAVES,Inactivo,5d69fc72-74f7-11ed-8d69-0242ac1c000c
101,8c0511f2-74f7-11ed-884d-0242ac1c000c,AZOGUES,Inactivo,5d69fcfe-74f7-11ed-8d69-0242ac1c000c
110,8c051256-74f7-11ed-884d-0242ac1c000c, BIBLIAN,Inactivo,5d69fde4-74f7-11ed-8d69-0242ac1c000c
115,8c0512d8-74f7-11ed-884d-0242ac1c000c,CAÑAR,Inactivo,5d69eeee-74f7-11ed-8d69-0242ac1c000c
127,8c051346-74f7-11ed-884d-0242ac1c000c, LA TRONCAL,Inactivo,5d69f132-74f7-11ed-8d69-0242ac1c000c
130,8c0513aa-74f7-11ed-884d-0242ac1c000c,EL TAMBO ,Activo,5d69f1f0-74f7-11ed-8d69-0242ac1c000c
131,8c05140e-74f7-11ed-884d-0242ac1c000c, DELEG,Inactivo,5d69f29a-74f7-11ed-8d69-0242ac1c000c
133,8c051774-74f7-11ed-884d-0242ac1c000c,SUSCAL,Activo,5d69f330-74f7-11ed-8d69-0242ac1c000c
134,8c0517f6-74f7-11ed-884d-0242ac1c000c, TULCAN,Inactivo,5d69f3c6-74f7-11ed-8d69-0242ac1c000c
144,8c051850-74f7-11ed-884d-0242ac1c000c, BOLIVAR,Activo,5d69f452-74f7-11ed-8d69-0242ac1c000c
150,8c0518b4-74f7-11ed-884d-0242ac1c000c, ESPEJO,Activo,5d69f4f2-74f7-11ed-8d69-0242ac1c000c
154,8c051918-74f7-11ed-884d-0242ac1c000c, MIRA,Inactivo,5d69f57e-74f7-11ed-8d69-0242ac1c000c
158,8c051972-74f7-11ed-884d-0242ac1c000c,MONTUFAR,Inactivo,5d69f60a-74f7-11ed-8d69-0242ac1c000c
164,8c0519d6-74f7-11ed-884d-0242ac1c000c, SAN PEDRO DE HUACA,Inactivo,5d69f68c-74f7-11ed-8d69-0242ac1c000c
166,8c051a3a-74f7-11ed-884d-0242ac1c000c,LATACUNGA,Activo,5d69f718-74f7-11ed-8d69-0242ac1c000c
177,8c051aa8-74f7-11ed-884d-0242ac1c000c,LA MANA,Activo,5d69f7a4-74f7-11ed-8d69-0242ac1c000c
180,8c051b02-74f7-11ed-884d-0242ac1c000c,PANGUA,Inactivo,5d69f826-74f7-11ed-8d69-0242ac1c000c
184,8c051b66-74f7-11ed-884d-0242ac1c000c, PUJILI,Activo,5d69f8a8-74f7-11ed-8d69-0242ac1c000c
191,8c051bca-74f7-11ed-884d-0242ac1c000c, SALCEDO,Inactivo,5d69f92a-74f7-11ed-8d69-0242ac1c000c
197,8c051c2e-74f7-11ed-884d-0242ac1c000c,SAQUISILI,Activo,5d69f9ac-74f7-11ed-8d69-0242ac1c000c
201,8c051c88-74f7-11ed-884d-0242ac1c000c,SIGCHOS,Inactivo,5d69fa42-74f7-11ed-8d69-0242ac1c000c
206,8c051cf6-74f7-11ed-884d-0242ac1c000c,RIOBAMBA,Inactivo,5d69face-74f7-11ed-8d69-0242ac1c000c
218,8c051d5a-74f7-11ed-884d-0242ac1c000c,ALAUSI,Inactivo,5d69fb5a-74f7-11ed-8d69-0242ac1c000c
228,8c051dbe-74f7-11ed-884d-0242ac1c000c, COLTA,Inactivo,5d69fbe6-74f7-11ed-8d69-0242ac1c000c
233,8c051e18-74f7-11ed-884d-0242ac1c000c,CHAMBO,Activo,5d69fc72-74f7-11ed-8d69-0242ac1c000c
234,8c051e7c-74f7-11ed-884d-0242ac1c000c,CHUNCHI,Activo,5d69fcfe-74f7-11ed-8d69-0242ac1c000c
