,Id_Car,Nombre_Car,Descrip_Car,Estado_Car,Fecha_Vigencia_Car,Modalidad_Car,Jornada_Car
0,30f7ab38-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Director de políticas y planificación,Minima laborum maiores occaecati cupiditate corrupti. Mollitia quod minima ullam voluptatibus beatae.,Activo,1975-04-28,En linea,Vespertina
1,30f7b4ca-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Zoólogo,Omnis aperiam sed corrupti. Eaque debitis autem corporis. Quidem rem a fugit sapiente adipisci nesciunt.,Activo,1943-11-01,Presencial,Vespertina
2,30f7b632-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Educador para necesidades especiales,Fugit eius magni laudantium sequi. Ex nam maiores voluptas. Tempora ex explicabo earum quam ipsam.,Inactivo,1947-03-22,Distancia,Intensiva
3,30f7b704-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Peón de la construcción de edificios,Officia voluptatum numquam dolorem facere eos. Eaque laudantium ipsam in beatae architecto. Modi recusandae incidunt dignissimos eum eligendi nisi.,Inactivo,1962-05-02,Distancia,En linea
4,30f7b8c6-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Actuario,Rerum omnis nesciunt voluptatibus accusantium velit. Provident suscipit natus pariatur.,Activo,1943-01-16,Distancia,En linea
5,30f7b998-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Gerente general,Sit hic id dolores rerum autem autem. Fuga incidunt cum. Praesentium doloribus eligendi voluptas ratione unde.,Inactivo,1954-07-16,Presencial,Intensiva
6,30f7ba4c-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Historiador,Dicta neque vero veniam omnis. Ut quisquam saepe dolorum maiores. Vero amet voluptates eum aspernatur.,Inactivo,1941-06-28,Distancia,En linea
7,30f7bb5a-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Conductor de taxis,Inventore voluptatibus rerum autem quos a. Ipsum doloremque et rerum dicta deleniti expedita.,Activo,1940-08-09,Presencial,Intensiva
8,30f7bc22-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Mecánico y ajustador electricista,Nihil facilis inventore fugit iste facilis. Quidem dolorem alias vel iste ad esse.,Inactivo,1958-07-18,Distancia,Intensiva
9,30f7bcd6-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Agricultor,Adipisci alias cum neque. Fuga ipsam quasi possimus cum. Dolor iure atque.,Inactivo,1961-07-04,Distancia,Matutina
10,30f7bd80-74f4-11ed-9ec6-0242ac1c000c,Licenciatura en Técnico agropecuario,Corporis quos ea id iure. Fuga vel ex reiciendis. A assumenda optio occaecati possimus harum.,Activo,1958-04-14,Distancia,Matutina
11,30f7be2a-74f4-11ed-9ec6-0242ac1c000c,Ingeniería en Trabajador agropecuario de subsistencia,Excepturi perspiciatis debitis maiores eaque. Voluptatum totam aliquam eveniet deleniti nobis.,Inactivo,1978-09-11,Distancia,Matutina
12,30f7bede-74f4-11ed-9ec6-0242ac1c000c,Tecnología en Ingeniero metalúrgico,Dolores occaecati veniam et deserunt quae. Occaecati sint consectetur voluptatum. Et asperiores nihil mollitia illo sapiente magnam. Aut ipsum fugiat quo commodi blanditiis.,Activo,1970-07-07,Presencial,En linea
