,ID_Exa,Fecha_Exa,Estado_Exa,Puntaje_Exa
0,8c26b4f4-74f4-11ed-9ddf-0242ac1c000c,2022-09-11,Inactivo,715
1,8c26b706-74f4-11ed-9ddf-0242ac1c000c,2022-01-22,Activo,935
2,8c26b7a6-74f4-11ed-9ddf-0242ac1c000c,2022-09-03,Inactivo,977
3,8c26b832-74f4-11ed-9ddf-0242ac1c000c,2022-04-19,Inactivo,699
4,8c26b8b4-74f4-11ed-9ddf-0242ac1c000c,2022-06-04,Activo,669
5,8c26b92c-74f4-11ed-9ddf-0242ac1c000c,2022-02-14,Inactivo,852
6,8c26b9ae-74f4-11ed-9ddf-0242ac1c000c,2022-03-10,Activo,450
7,8c26bb70-74f4-11ed-9ddf-0242ac1c000c,2022-05-23,Inactivo,832
8,8c26bc42-74f4-11ed-9ddf-0242ac1c000c,2022-09-15,Inactivo,519
9,8c26bcce-74f4-11ed-9ddf-0242ac1c000c,2022-07-24,Inactivo,519
10,8c26bd46-74f4-11ed-9ddf-0242ac1c000c,2022-06-18,Activo,963
11,8c26bdbe-74f4-11ed-9ddf-0242ac1c000c,2022-04-10,Activo,694
12,8c26be36-74f4-11ed-9ddf-0242ac1c000c,2022-05-19,Inactivo,796
13,8c26beae-74f4-11ed-9ddf-0242ac1c000c,2022-01-07,Inactivo,973
14,8c26bf1c-74f4-11ed-9ddf-0242ac1c000c,2022-05-20,Inactivo,838
15,8c26bf94-74f4-11ed-9ddf-0242ac1c000c,2022-08-09,Activo,597
16,8c26c002-74f4-11ed-9ddf-0242ac1c000c,2022-10-10,Inactivo,708
17,8c26c07a-74f4-11ed-9ddf-0242ac1c000c,2022-10-12,Activo,761
18,8c26c0f2-74f4-11ed-9ddf-0242ac1c000c,2022-06-16,Activo,485
19,8c26c160-74f4-11ed-9ddf-0242ac1c000c,2022-07-25,Activo,533
20,8c26c1e2-74f4-11ed-9ddf-0242ac1c000c,2022-01-11,Activo,1000
21,8c26c25a-74f4-11ed-9ddf-0242ac1c000c,2022-09-29,Activo,931
22,8c26c2d2-74f4-11ed-9ddf-0242ac1c000c,2022-04-11,Activo,500
23,8c26c34a-74f4-11ed-9ddf-0242ac1c000c,2022-03-29,Activo,504
24,8c26c3b8-74f4-11ed-9ddf-0242ac1c000c,2022-09-11,Activo,702
25,8c26c426-74f4-11ed-9ddf-0242ac1c000c,2022-08-03,Inactivo,719
26,8c26c4a8-74f4-11ed-9ddf-0242ac1c000c,2022-02-01,Inactivo,745
27,8c26c516-74f4-11ed-9ddf-0242ac1c000c,2022-09-19,Inactivo,778
28,8c26c598-74f4-11ed-9ddf-0242ac1c000c,2022-06-10,Inactivo,585
29,8c26c606-74f4-11ed-9ddf-0242ac1c000c,2022-03-08,Inactivo,936
30,8c26c67e-74f4-11ed-9ddf-0242ac1c000c,2022-10-20,Activo,693
31,8c26c6ec-74f4-11ed-9ddf-0242ac1c000c,2022-08-26,Activo,433
32,8c26c764-74f4-11ed-9ddf-0242ac1c000c,2022-05-29,Activo,879
33,8c26c7dc-74f4-11ed-9ddf-0242ac1c000c,2022-02-12,Activo,485
34,8c26c854-74f4-11ed-9ddf-0242ac1c000c,2022-11-25,Inactivo,836
35,8c26c8d6-74f4-11ed-9ddf-0242ac1c000c,2022-07-17,Activo,666
36,8c26c94e-74f4-11ed-9ddf-0242ac1c000c,2022-08-09,Inactivo,890
37,8c26c9c6-74f4-11ed-9ddf-0242ac1c000c,2022-04-07,Inactivo,715
38,8c26ca3e-74f4-11ed-9ddf-0242ac1c000c,2022-02-12,Activo,627
39,8c26cab6-74f4-11ed-9ddf-0242ac1c000c,2022-04-16,Activo,597
40,8c26cb2e-74f4-11ed-9ddf-0242ac1c000c,2022-08-21,Activo,686
41,8c26cba6-74f4-11ed-9ddf-0242ac1c000c,2022-09-10,Activo,858
42,8c26cc1e-74f4-11ed-9ddf-0242ac1c000c,2022-08-03,Inactivo,674
43,8c26cc96-74f4-11ed-9ddf-0242ac1c000c,2022-03-18,Activo,536
44,8c26cd0e-74f4-11ed-9ddf-0242ac1c000c,2022-03-06,Inactivo,751
45,8c26cd90-74f4-11ed-9ddf-0242ac1c000c,2022-03-11,Inactivo,421
46,8c26cdfe-74f4-11ed-9ddf-0242ac1c000c,2022-08-05,Inactivo,434
47,8c26ce76-74f4-11ed-9ddf-0242ac1c000c,2022-03-03,Inactivo,457
48,8c26cee4-74f4-11ed-9ddf-0242ac1c000c,2022-06-18,Activo,784
49,8c26cf52-74f4-11ed-9ddf-0242ac1c000c,2022-01-06,Inactivo,768
50,8c26d056-74f4-11ed-9ddf-0242ac1c000c,2022-09-02,Activo,400
51,8c26d0d8-74f4-11ed-9ddf-0242ac1c000c,2022-05-25,Inactivo,518
52,8c26d146-74f4-11ed-9ddf-0242ac1c000c,2022-06-11,Activo,911
53,8c26d1be-74f4-11ed-9ddf-0242ac1c000c,2022-09-19,Inactivo,658
54,8c26d236-74f4-11ed-9ddf-0242ac1c000c,2022-04-07,Activo,946
55,8c26d2a4-74f4-11ed-9ddf-0242ac1c000c,2022-08-22,Inactivo,617
56,8c26d31c-74f4-11ed-9ddf-0242ac1c000c,2022-02-08,Inactivo,977
57,8c26d38a-74f4-11ed-9ddf-0242ac1c000c,2022-05-28,Activo,693
58,8c26d402-74f4-11ed-9ddf-0242ac1c000c,2022-07-29,Activo,814
59,8c26d47a-74f4-11ed-9ddf-0242ac1c000c,2022-09-27,Inactivo,917
60,8c26d4e8-74f4-11ed-9ddf-0242ac1c000c,2022-07-28,Inactivo,416
61,8c26d556-74f4-11ed-9ddf-0242ac1c000c,2022-02-22,Activo,812
62,8c26d5ce-74f4-11ed-9ddf-0242ac1c000c,2022-05-12,Inactivo,990
63,8c26d63c-74f4-11ed-9ddf-0242ac1c000c,2022-07-24,Activo,945
64,8c26d6be-74f4-11ed-9ddf-0242ac1c000c,2022-02-13,Activo,910
65,8c26d736-74f4-11ed-9ddf-0242ac1c000c,2022-10-30,Inactivo,685
66,8c26d7ae-74f4-11ed-9ddf-0242ac1c000c,2022-03-10,Activo,608
67,8c26d844-74f4-11ed-9ddf-0242ac1c000c,2022-11-06,Inactivo,703
68,8c26d8b2-74f4-11ed-9ddf-0242ac1c000c,2022-09-14,Inactivo,539
69,8c26d92a-74f4-11ed-9ddf-0242ac1c000c,2022-06-11,Activo,749
70,8c26d998-74f4-11ed-9ddf-0242ac1c000c,2022-04-03,Activo,747
71,8c26da06-74f4-11ed-9ddf-0242ac1c000c,2022-02-15,Activo,793
72,8c26da7e-74f4-11ed-9ddf-0242ac1c000c,2022-08-11,Activo,747
73,8c26daf6-74f4-11ed-9ddf-0242ac1c000c,2022-01-31,Activo,659
74,8c26db6e-74f4-11ed-9ddf-0242ac1c000c,2022-05-01,Inactivo,909
75,8c26dbdc-74f4-11ed-9ddf-0242ac1c000c,2022-01-05,Activo,431
76,8c26dc4a-74f4-11ed-9ddf-0242ac1c000c,2022-03-31,Inactivo,816
77,8c26dcc2-74f4-11ed-9ddf-0242ac1c000c,2022-01-05,Inactivo,436
78,8c26dd30-74f4-11ed-9ddf-0242ac1c000c,2022-02-14,Activo,986
79,8c26dd9e-74f4-11ed-9ddf-0242ac1c000c,2022-10-15,Inactivo,817
80,8c26de16-74f4-11ed-9ddf-0242ac1c000c,2022-06-18,Inactivo,998
81,8c26de8e-74f4-11ed-9ddf-0242ac1c000c,2022-10-11,Inactivo,461
82,8c26defc-74f4-11ed-9ddf-0242ac1c000c,2022-11-30,Inactivo,611
83,8c26df6a-74f4-11ed-9ddf-0242ac1c000c,2022-04-23,Inactivo,696
84,8c26e000-74f4-11ed-9ddf-0242ac1c000c,2022-02-08,Activo,508
85,8c26e078-74f4-11ed-9ddf-0242ac1c000c,2022-06-14,Activo,458
86,8c26e0e6-74f4-11ed-9ddf-0242ac1c000c,2022-04-06,Inactivo,964
87,8c26e2ee-74f4-11ed-9ddf-0242ac1c000c,2022-11-19,Activo,664
88,8c26e3a2-74f4-11ed-9ddf-0242ac1c000c,2022-05-08,Activo,631
89,8c26e456-74f4-11ed-9ddf-0242ac1c000c,2022-05-03,Inactivo,529
90,8c26e50a-74f4-11ed-9ddf-0242ac1c000c,2022-04-27,Inactivo,891
91,8c26e5b4-74f4-11ed-9ddf-0242ac1c000c,2022-03-05,Inactivo,805
92,8c26e668-74f4-11ed-9ddf-0242ac1c000c,2022-08-30,Activo,918
93,8c26e744-74f4-11ed-9ddf-0242ac1c000c,2022-01-13,Activo,776
94,8c26e7f8-74f4-11ed-9ddf-0242ac1c000c,2022-09-30,Inactivo,846
95,8c26e8a2-74f4-11ed-9ddf-0242ac1c000c,2022-01-23,Activo,501
96,8c26e94c-74f4-11ed-9ddf-0242ac1c000c,2022-05-04,Inactivo,732
97,8c26ea00-74f4-11ed-9ddf-0242ac1c000c,2022-01-08,Inactivo,735
98,8c26eabe-74f4-11ed-9ddf-0242ac1c000c,2022-08-28,Inactivo,546
