,Id_IE,Nombre_IE,Correo_IE,Telefono_IE,Descrip_IE,Estado_IE,Tipo_IE
0,4a0f0c38-74f4-11ed-be5f-0242ac1c000c,Instituto Alejandro Ayllón,alejandro.ayllón@hotmail.com,0998399312,Esse ad ad error quos dolorum. Suscipit veniam esse. Beatae in nihil.,Activo,Urbano
1,4a0f1534-74f4-11ed-be5f-0242ac1c000c,Instituto Piedad Valverde,piedad.valverde@hotmail.com,0948912697,Illum totam quas autem ipsa inventore enim qui. Corrupti ut temporibus dolore sed odit.,Activo,Rural
2,4a0f161a-74f4-11ed-be5f-0242ac1c000c,Universidad José Luis Rivas,josé luis.rivas@hotmail.com,0935898163,Totam illo laboriosam amet alias repudiandae facere. Aspernatur omnis itaque voluptatibus. Aliquam excepturi dolorum incidunt nemo sed. Voluptas dolore unde inventore eveniet eos assumenda.,Inactivo,Rural
3,4a0f16ba-74f4-11ed-be5f-0242ac1c000c,Instituto Nidia Rivera,nidia.rivera@hotmail.com,0980310872,Earum alias repellendus beatae magni. Magni nostrum reiciendis enim atque sequi molestiae reiciendis. Deserunt eligendi iusto iste nostrum harum quibusdam.,Inactivo,Rural
4,4a0f1750-74f4-11ed-be5f-0242ac1c000c,Universidad Germán Cruz,germán.cruz@hotmail.com,0938956480,A sint tenetur ratione quis itaque fuga. Voluptate distinctio exercitationem ab dolorem neque veritatis asperiores. Molestiae nobis ducimus modi.,Activo,Urbano
5,4a0f17dc-74f4-11ed-be5f-0242ac1c000c,Instituto Ileana Echeverría,ileana.echeverría@hotmail.com,0927347566,Nemo occaecati at velit. Minima vel dolores eos ullam molestiae eius iusto. Eaque ex harum illum molestiae provident.,Inactivo,Urbano
6,4a0f1868-74f4-11ed-be5f-0242ac1c000c,Universidad Glauco Villena,glauco.villena@hotmail.com,0967503570,Cum quas maiores id recusandae aut fuga. Deserunt cupiditate quasi aut. Voluptatum qui debitis vel facilis consectetur voluptatem.,Activo,Urbano
7,4a0f18fe-74f4-11ed-be5f-0242ac1c000c,Instituto Tere Losada,tere.losada@hotmail.com,0990495125,Doloremque illum officiis consequuntur nisi. Corrupti ullam ipsum molestias distinctio veniam. Ad excepturi harum facilis quaerat quibusdam.,Inactivo,Urbano
8,4a0f198a-74f4-11ed-be5f-0242ac1c000c,Instituto Juan José Escribano,juan josé.escribano@hotmail.com,0983617026,Rerum molestias aliquam doloribus quis porro quibusdam. Deserunt amet labore officia hic reprehenderit vitae. Doloremque reprehenderit quia dolorem sapiente.,Activo,Urbano
9,4a0f1a02-74f4-11ed-be5f-0242ac1c000c,Instituto Prudencia Jerez,prudencia.jerez@hotmail.com,0925129018,Sequi eaque sit enim reiciendis excepturi exercitationem. Possimus itaque aut tenetur aperiam voluptate. Provident magni natus nostrum.,Activo,Rural
10,4a0f1a7a-74f4-11ed-be5f-0242ac1c000c,Universidad Elena Clemente,elena.clemente@hotmail.com,0944081293,Reprehenderit quis tenetur ipsum. Maiores nobis quaerat dolorem totam doloribus qui.,Inactivo,Urbano
11,4a0f1afc-74f4-11ed-be5f-0242ac1c000c,Universidad Agustina Peláez,agustina.peláez@hotmail.com,0971997240,Tempore voluptatibus illum distinctio harum possimus. Beatae alias illo nihil. Debitis officia optio.,Inactivo,Rural
12,4a0f1b74-74f4-11ed-be5f-0242ac1c000c,Instituto Lilia Viñas,lilia.viñas@hotmail.com,0960646258,Cumque deserunt nobis magni ad iure sequi. Voluptatibus saepe iusto blanditiis incidunt nesciunt. Dolore ab tenetur inventore.,Inactivo,Rural
13,4a0f1bec-74f4-11ed-be5f-0242ac1c000c,Instituto Quique Aramburu,quique.aramburu@hotmail.com,0990123199,Et tenetur dignissimos voluptatum. Nisi recusandae odio nemo dolorem similique at. Totam sit aspernatur corporis. In ducimus ea possimus impedit.,Activo,Rural
14,4a0f1c5a-74f4-11ed-be5f-0242ac1c000c,Instituto Samuel Sanabria,samuel.sanabria@hotmail.com,0996461886,Quidem architecto nesciunt delectus. Ex molestias non officiis laborum est.,Activo,Rural
15,4a0f1cbe-74f4-11ed-be5f-0242ac1c000c,Instituto Felicidad Feliu,felicidad.feliu@hotmail.com,0944167372,Minima ad doloremque in occaecati. Maxime sapiente architecto veniam quo quidem.,Activo,Rural
16,4a0f1d4a-74f4-11ed-be5f-0242ac1c000c,Universidad Duilio Fernández,duilio.fernández@hotmail.com,0948449593,Itaque tempora beatae ab minus enim eum placeat. Consectetur similique dolorem voluptate ipsa vero. Ex optio eaque.,Activo,Rural
17,4a0f1de0-74f4-11ed-be5f-0242ac1c000c,Instituto Ani Campillo,ani.campillo@hotmail.com,0982035418,Amet dignissimos est ipsum. Corrupti quibusdam dolor at esse itaque corrupti. Mollitia quae neque eius optio deleniti.,Activo,Urbano
18,4a0f1e80-74f4-11ed-be5f-0242ac1c000c,Instituto Julio César Verdejo,julio césar.verdejo@hotmail.com,0911685688,Optio quo a laboriosam vero. Natus corporis in culpa ullam voluptas. Incidunt molestiae error dignissimos. Ducimus distinctio laborum facere iusto id excepturi.,Activo,Rural
19,4a0f1f0c-74f4-11ed-be5f-0242ac1c000c,Universidad Óscar Nicolás,óscar.nicolás@hotmail.com,0971483795,Nisi dolore quisquam error natus. Praesentium perferendis distinctio nulla. Perspiciatis eaque magni deleniti.,Activo,Urbano
20,4a0f1f98-74f4-11ed-be5f-0242ac1c000c,Universidad Baltasar Barrios,baltasar.barrios@hotmail.com,0900967755,Officiis sed odit. Quo tempora sunt repudiandae. Dicta aliquam ad corporis tenetur.,Inactivo,Rural
21,4a0f2024-74f4-11ed-be5f-0242ac1c000c,Instituto Ale Pons,ale.pons@hotmail.com,0978854984,Labore ullam est. Mollitia dolor voluptas. Culpa sed deleniti totam consequuntur ab iste.,Activo,Urbano
22,4a0f20ba-74f4-11ed-be5f-0242ac1c000c,Instituto Lidia Salas,lidia.salas@hotmail.com,0977266282,Praesentium nam veritatis omnis quasi cupiditate non. Tenetur voluptatem modi excepturi inventore.,Activo,Urbano
23,4a0f2146-74f4-11ed-be5f-0242ac1c000c,Instituto Loreto Riba,loreto.riba@hotmail.com,0975909394,Dignissimos itaque eos aspernatur magnam sed. Voluptate ex itaque vitae.,Inactivo,Urbano
24,4a0f21d2-74f4-11ed-be5f-0242ac1c000c,Universidad Arsenio Cid,arsenio.cid@hotmail.com,0942711312,Facilis velit sit praesentium quae provident temporibus. Id numquam veritatis nemo. Et atque atque inventore temporibus. Quam voluptatibus maxime perferendis accusantium.,Activo,Urbano
25,4a0f2268-74f4-11ed-be5f-0242ac1c000c,Universidad Yago Padilla,yago.padilla@hotmail.com,0971976673,Qui et soluta voluptates rerum commodi. Quis veniam minima dicta amet at.,Activo,Rural
26,4a0f22fe-74f4-11ed-be5f-0242ac1c000c,Universidad Haydée Barbero,haydée.barbero@hotmail.com,0980520157,Quaerat accusantium officia esse aliquam illo veniam. Ipsum velit maxime nisi incidunt quasi a. Unde consectetur earum harum dolorem qui molestiae. Eum voluptatum pariatur aliquam.,Inactivo,Urbano
27,4a0f238a-74f4-11ed-be5f-0242ac1c000c,Instituto Danilo Barroso,danilo.barroso@hotmail.com,0968845318,Aperiam magnam assumenda accusamus aspernatur ea molestias. Quasi ab necessitatibus eligendi deleniti modi hic.,Inactivo,Rural
28,4a0f2420-74f4-11ed-be5f-0242ac1c000c,Universidad Fabián Cazorla,fabián.cazorla@hotmail.com,0979873533,Tempore voluptas aliquam unde qui. Est excepturi nam nihil.,Activo,Rural
29,4a0f2628-74f4-11ed-be5f-0242ac1c000c,Universidad Darío Arnaiz,darío.arnaiz@hotmail.com,0949260424,Dolorem facilis quam illo impedit. Ratione consequuntur officia eligendi aperiam.,Activo,Urbano
30,4a0f26c8-74f4-11ed-be5f-0242ac1c000c,Instituto Nacho Sarabia,nacho.sarabia@hotmail.com,0977714563,Aperiam tempora similique odit quidem animi incidunt ut. Sequi ad fuga aliquam ab laboriosam suscipit.,Activo,Urbano
31,4a0f2740-74f4-11ed-be5f-0242ac1c000c,Instituto Evangelina Colomer,evangelina.colomer@hotmail.com,0931392018,Officiis temporibus et veniam ipsa molestias. Provident soluta nobis optio. Dicta ducimus nobis delectus nemo inventore ex quia.,Inactivo,Rural
32,4a0f27ae-74f4-11ed-be5f-0242ac1c000c,Universidad Paz Alba,paz.alba@hotmail.com,0966414977,Quae rerum neque itaque quia. Facilis delectus voluptatum architecto facere. Sapiente culpa sed impedit. Voluptatem rem maiores possimus.,Inactivo,Urbano
33,4a0f2830-74f4-11ed-be5f-0242ac1c000c,Universidad María Navas,maría.navas@hotmail.com,0983752140,Voluptate dignissimos quisquam est.,Activo,Rural
34,4a0f28d0-74f4-11ed-be5f-0242ac1c000c,Universidad Jacinto Riera,jacinto.riera@hotmail.com,0975530442,Quam velit maiores ratione voluptas velit. Cumque tenetur nesciunt blanditiis totam. Sint exercitationem voluptatum optio ex consequuntur quibusdam qui. Eos consequuntur eligendi quos occaecati ea ut.,Activo,Urbano
35,4a0f295c-74f4-11ed-be5f-0242ac1c000c,Universidad Candelario Amaya,candelario.amaya@hotmail.com,0970017474,Nulla vel aliquam molestiae. Iste eveniet numquam numquam nisi.,Activo,Rural
36,4a0f29f2-74f4-11ed-be5f-0242ac1c000c,Universidad Concha Piñol,concha.piñol@hotmail.com,0972326543,Nobis exercitationem quo mollitia explicabo ratione. Asperiores quaerat iste ipsa quis praesentium. Necessitatibus doloribus eius fugiat quam consequuntur.,Activo,Urbano
37,4a0f2a7e-74f4-11ed-be5f-0242ac1c000c,Instituto Samuel Montaña,samuel.montaña@hotmail.com,0980448045,Temporibus vero officia quo odio dolore. Vero suscipit dicta impedit aliquid. Optio velit impedit impedit maiores illum inventore accusamus.,Activo,Urbano
38,4a0f2b0a-74f4-11ed-be5f-0242ac1c000c,Instituto Chita Andreu,chita.andreu@hotmail.com,0916634414,Porro quo molestias nam. Reprehenderit impedit voluptate nam.,Inactivo,Urbano
39,4a0f2d3a-74f4-11ed-be5f-0242ac1c000c,Universidad José Luis Escolano,josé luis.escolano@hotmail.com,0911379270,Asperiores vero ullam. Voluptates laboriosam incidunt totam labore.,Activo,Urbano
40,4a0f2e20-74f4-11ed-be5f-0242ac1c000c,Instituto Modesto Miguel,modesto.miguel@hotmail.com,0952398553,Ipsam quae explicabo eius. Nesciunt officiis qui voluptatibus dolor voluptatem. Aspernatur a deleniti debitis quas rem.,Activo,Urbano
41,4a0f2eca-74f4-11ed-be5f-0242ac1c000c,Universidad Paco Cabañas,paco.cabañas@hotmail.com,0962917188,Minus laborum ad quod fugiat. Magni consequuntur autem amet similique. Nisi quam quasi.,Inactivo,Urbano
