,ID_Parametros,Accion_Afir_Socioeco_Para,Accion_Afir_Terri_Para,Accion_Afir_Rural_Para,Accion_Afir_Vulnera_Para,Accion_Afir_Pueblos_Nacion_Para,Cupos_Oferta_Car_Para,Fecha_Cupos_Oferta_Car_Para,Puntaje_Refer_Car_Para
0,0aaa5702-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,3,Falso,33,2022-10-04,956
1,0aaa5996-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,4,Falso,28,2022-05-15,741
2,0aaa5a7c-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,2,Falso,43,2022-10-09,921
3,0aaa5ba8-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,3,Verdadero,12,2022-07-18,894
4,0aaa5c66-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,2,Falso,40,2022-06-05,751
5,0aaa5d1a-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,5,Verdadero,4,2022-10-22,744
6,0aaa5dc4-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,2,Falso,48,2022-06-24,950
7,0aaa5e64-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,0,Verdadero,11,2022-09-26,762
8,0aaa5f04-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,1,Falso,36,2022-06-28,780
9,0aaa5fa4-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,3,Falso,50,2022-05-03,938
10,0aaa6044-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,1,Verdadero,25,2022-10-12,875
11,0aaa60ee-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,0,Verdadero,28,2022-11-21,742
12,0aaa618e-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,0,Verdadero,25,2022-09-23,784
13,0aaa622e-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Falso,6,Verdadero,15,2022-11-02,880
14,0aaa62d8-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,1,Falso,39,2022-07-25,941
15,0aaa6af8-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,5,Verdadero,22,2022-09-15,771
16,0aaa6d1e-74f7-11ed-86c4-0242ac1c000c,Falso,Falso,Verdadero,6,Verdadero,36,2022-06-02,813
17,0aaa6ddc-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,0,Verdadero,1,2022-11-27,852
18,0aaa6e86-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Falso,2,Verdadero,48,2022-07-12,793
19,0aaa6f1c-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,0,Falso,33,2022-10-10,788
20,0aaa6fc6-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,2,Falso,21,2022-11-15,724
21,0aaa705c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Falso,0,Verdadero,14,2022-08-04,803
22,0aaa70fc-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Verdadero,3,Verdadero,50,2022-08-29,974
23,0aaa719c-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,2,Verdadero,43,2022-07-12,705
24,0aaa723c-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,2,Verdadero,17,2022-07-25,973
25,0aaa72d2-74f7-11ed-86c4-0242ac1c000c,Verdadero,Verdadero,Verdadero,5,Verdadero,28,2022-10-23,799
26,0aaa7368-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,3,Verdadero,35,2022-10-11,818
27,0aaa7408-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,2,Verdadero,11,2022-07-14,708
28,0aaa749e-74f7-11ed-86c4-0242ac1c000c,Verdadero,Falso,Verdadero,1,Verdadero,40,2022-07-09,877
29,0aaa7534-74f7-11ed-86c4-0242ac1c000c,Falso,Verdadero,Falso,0,Falso,28,2022-09-14,773
